x,y
10,464.29786458190586
11,722.5985757668739
12,822.9463302532016
13,874.0227847376077
14,819.3044059526567
15,925.876882967083
16,1074.6989899458686
17,1233.6168931691773
18,1078.7040315315705
19,1168.947486068232
20,1379.102937648997
21,972.2975353156968
22,1694.974576304226
23,1693.9633726126094
24,1800.1057626922097
25,1474.938257942694
26,1953.375570684766
27,1994.9513082358415
28,1949.2722203139256
29,1690.5760816407972
30,2260.225255287495
31,2155.9185497551584
32,2568.2773654669704
33,1998.1067040712517
34,2148.7195407225227
35,2414.619046135324
36,2415.111926275014
37,1972.296487429693
38,2826.470860537317
39,2315.8938414719933
40,2127.231894617447
41,2714.2294096428645
42,2768.383653750277
43,2608.6647387198514
44,3539.213652489265
45,3492.602989050687
46,2457.1713435732677
47,3249.8939659497873
48,3641.1096074299244
49,3757.81917833364
50,3811.2227276460535
51,3693.9598353663705
52,3483.978980808363
53,3116.2346891975553
54,3744.215610851363
55,4010.0403221364904
56,3683.4102541895245
57,3326.1891002577686
58,4057.017334806657
59,4976.376864874338
60,3523.980486093288
61,4628.876317278425
62,3323.074333223392
63,4428.351893847445
64,4931.317098217215
65,4401.921558667342
66,4258.284063357221
67,3097.7552275542985
68,5300.019233582159
69,5203.880014882153
70,3739.735710383051
71,5586.792434335496
72,4917.33034689124
73,3758.550849738978
74,5704.617744383795
75,5593.79816187408
76,5811.841601001558
77,5754.029516159374
78,5909.529209749876
79,6183.310824865255
80,6370.607574949309
81,6515.264359886623
82,6257.816420052263
83,5165.117931407519
84,6260.812441888432
85,5449.676298452591
86,6525.789202691223
87,6917.645221148358
88,7155.344584281462
89,6785.381355165828
90,5686.782910414256
91,5916.895116055489
92,6879.930240503458
93,5627.874454358004
94,5518.185899844748
95,7359.842789269727
96,6939.678102132282
97,5763.175246685436
98,7723.93003636893
99,7458.323167992493
100,7307.334230184751
101,8079.8883871694625
102,7810.177933302363
103,7647.700633754351
104,7345.078825308313
105,7801.302418863324
106,7785.14619097393
107,7440.542030396308
108,7737.468843606405
109,8005.117718883219
110,8540.437256211339
111,8735.41388227437
112,8934.058398684288
113,8994.181690965508
114,8641.350928407805
115,7897.489776515713
116,8450.84338965957
117,9667.082198147233
118,9572.742897131895
119,9309.597141103899
120,9494.978549035948
121,8570.905347647054
122,9518.186301276111
123,10076.966374135694
124,9512.656526904257
125,9980.61688560707
126,9756.832857842917
127,8336.721859059167
128,8360.72629520052
129,10098.186804129109
130,9759.971131930202
131,9347.350076710005
132,10341.79247415724
133,9671.120830793885
134,7461.787261259484
135,9651.882034266113
136,11002.985597640067
137,9691.081660880693
138,9030.356778096166
139,9182.65759588169
140,9705.469285838175
141,11468.478873594482
142,10781.105918218718
143,10035.671333454842
144,11085.110590506069
145,11606.713459919461
146,10729.60234922239
147,10942.876012688259
148,10885.786295395686
149,10678.99188639382
150,10936.848646886796
151,11190.31534720378
152,10477.88125298869
153,11657.170531362395
154,10938.729094602224
155,11310.308057180546
156,9515.417671872914
157,10440.884700500219
158,12850.399363734277
159,11771.588668058697
160,12452.611436589834
161,12289.317995263738
162,12122.1989833225
163,9807.71954887152
164,12995.000668893634
165,11749.271260857062
166,11976.360566415979
167,12385.807641888096
168,11831.161821903115
169,13418.842914894927
170,12317.879818609252
171,12363.96572335468
172,11588.893821799751
173,14096.620030178705
174,11215.228152754693
175,14122.284216411263
176,14190.323102980736
177,13941.571314518944
178,11803.010048171545
179,12587.160560388375
180,14295.486766369035
181,13284.366043698708
182,14740.824782704904
183,13915.457497461844
184,14199.040194237505
185,14516.046629542094
186,13564.62266662315
187,14499.844692644767
188,14539.824510945693
189,15330.744252055922
190,13839.689139421207
191,15267.679156595834
192,13826.36417369959
193,15522.533806024088
194,14730.697282323483
195,14706.904583927348
196,15183.51464817416
197,14861.641470372548
198,16271.15046479744
199,15941.07010129088
