x,y
10,511.8899947925133
11,721.2225498637159
12,715.9856506467904
13,873.0580855256825
14,762.711793137696
15,871.7980826104655
16,1172.1216387553982
17,870.1951680444082
18,1239.4662249855367
19,1082.189015992374
20,1014.8276493808221
21,1487.8822949952396
22,1073.3462046204943
23,1231.0238213230373
24,1743.8004935087902
25,1796.3827908786511
26,1907.0330123909607
27,1793.7876880652307
28,2112.338997559214
29,2207.0053971559178
30,2355.550913726691
31,2320.752830863317
32,2046.64231713183
33,1564.4349518954446
34,2251.631514649485
35,2047.959084742459
36,2417.3096948939747
37,1918.2816624738712
38,2782.976638375993
39,3083.93233475356
40,2610.03018193396
41,2975.5556442963025
42,2820.874534216289
43,3503.7586347004526
44,3286.8293337335595
45,3542.993072732244
46,2503.6783672867737
47,3807.1818035136153
48,3060.034494243079
49,3802.026785814688
50,3961.9525216451093
51,2868.120926147005
52,4117.4291358419505
53,3945.6502682406813
54,3698.1146104463355
55,3797.6077070256183
56,4372.338328355715
57,3481.1285964158005
58,4470.190249869984
59,4362.277070099094
60,4737.41106948334
61,3676.2443590861744
62,3525.5742681001498
63,4423.090226740446
64,3938.832519748807
65,4924.121937145405
66,4678.490477337848
67,4196.8306196278445
68,5363.593591140785
69,5024.634975930625
70,4287.685892011431
71,5508.195035633937
72,5282.9611629472365
73,4246.62824028094
74,5646.706442722729
75,5289.590361079412
76,4336.515213478138
77,4036.54560278785
78,5342.188372571862
79,5768.466178651008
80,5853.1444724390685
81,5811.847489029485
82,6284.98475831553
83,5256.9123322335045
84,6684.955035010833
85,5784.112394934331
86,6154.97590975485
87,6512.193539617851
88,6641.928218112266
89,7079.171296146167
90,6824.133362855022
91,7100.955010872904
92,7507.27132834129
93,6784.760021842122
94,6635.072236397253
95,7043.115448701256
96,6884.821971187491
97,7554.674085049997
98,6917.883888761898
99,7506.199286548532
100,7275.993272902365
101,7919.345508214122
102,7219.840717943162
103,7339.884841623547
104,7907.863090404031
105,7757.474499935912
106,7848.813760549142
107,7461.941870809889
108,8445.410172236281
109,8363.77612427399
110,8643.965387712664
111,9055.882432935705
112,8636.08966452846
113,8367.781939585155
114,7942.941556090513
115,9087.53612742151
116,8156.511661898474
117,9049.490368997647
118,9048.15862299371
119,9364.018811513006
120,7987.533694687112
121,9548.115880299803
122,8087.994937925822
123,6955.331145491485
124,9972.56722503781
125,9145.151203447329
126,10089.746957395264
127,8806.448208983787
128,7926.393429401743
129,10139.943344423926
130,9143.189293064459
131,10022.792819208395
132,9145.209976379921
133,9338.317448795167
134,10371.776129902586
135,10661.427219658122
136,8665.069929695153
137,8587.634122053016
138,9703.88235566932
139,10687.897353715563
140,10922.84281644137
141,9209.857208075704
142,10558.020628503535
143,11399.138483246043
144,8370.308566922151
145,11090.043284817302
146,11855.517804659086
147,8990.37811721079
148,9150.849986433144
149,12101.67295474826
150,11051.40752467579
151,11050.131229413313
152,12397.25642012106
153,10346.430506202356
154,11991.86376700006
155,11876.475904446821
156,11831.261668021181
157,10806.991575865495
158,9616.45780240372
159,12816.986592197312
160,11500.226744251344
161,12422.07692607073
162,12595.20966094604
163,12300.67867716351
164,13153.87769461535
165,12754.190156595938
166,12527.326634103356
167,12074.930398590079
168,12588.873798996705
169,13212.69102078714
170,12047.551227433436
171,11631.661695752438
172,13063.214694882266
173,13823.518361510996
174,13808.58397537779
175,13877.81842482519
176,13522.001025301815
177,13241.15711871169
178,13418.40195772644
179,14216.132484282527
180,11779.177292282237
181,14355.820516129605
182,14407.599832149548
183,14378.228932367114
184,14509.522515957808
185,14651.374588371396
186,13546.381390893479
187,14213.416840583086
188,12236.831126437846
189,14718.85361929586
190,14688.024746950081
191,12651.608000257464
192,14814.19494794688
193,14556.282790453275
194,14285.955738837058
195,13994.900817890255
196,14899.65384119853
197,14278.16684939506
198,13807.471329987071
199,13867.347834274378
