x,y
10,543.2285015608298
11,852.6663194049111
12,954.6177430937138
13,821.5814176533512
14,966.7791990241349
15,879.5830388187288
16,1182.1688889404554
17,1369.314751417787
18,1013.9817896396762
19,1379.3580335605136
20,1627.3414664258164
21,1108.4191902598945
22,1932.2710169868178
23,1948.0578785045006
24,2124.1247999768075
25,1755.1765269518057
26,1875.2405478573753
27,2354.0425437182926
28,1890.7940537045079
29,1893.445211437693
30,2599.259043580619
31,2457.7471467208807
32,3056.2500649056947
33,2317.803776722652
34,2084.257954500847
35,2800.9580935169756
36,2753.2275959535164
37,1834.2357333096143
38,2656.882608905078
39,2709.595794522232
40,1957.0533430480511
41,2605.6602332571497
42,3128.2735287378127
43,2999.964449527829
44,4140.8799734124395
45,4016.49343740829
46,2850.3187585449905
47,3152.3971469712938
48,3531.8763192070264
49,4246.335671517013
50,4192.345000410659
51,4100.2954172566715
52,4145.9349871619515
53,3022.7476485216284
54,4230.96364026204
55,3769.437902808301
56,4162.253587234162
57,3924.9031383041665
58,4706.140108375722
59,5573.542088659259
60,3876.3785347026173
61,5323.207764870188
62,3123.6898732299883
63,5136.888196863037
64,5473.761979021109
65,5238.286654814136
66,4769.278150960088
67,3438.5083025852714
68,5883.021349276198
69,5932.423216965655
70,3664.94099617539
71,6592.415072515885
72,5802.449809331662
73,4247.162460205044
74,6674.40276092904
75,6488.805867773932
76,6857.973089181838
77,5351.247450028218
78,5495.862165067384
79,7296.306773341001
80,7198.786559692719
81,7231.943439474153
82,6883.59806205749
83,5733.280903862346
84,5947.77181979401
85,5231.689246514487
86,7243.626014987259
87,8093.6449087435785
88,7870.879042709608
89,7599.627117785728
90,6596.668176080536
91,5561.88140909216
92,7980.719078984011
93,5233.9232425529435
94,6125.18634882767
95,7139.047505591635
96,7911.233036430803
97,6397.124523820835
98,8882.51954182427
99,8353.321948151593
100,7161.187545581055
101,8887.87722588641
102,8825.50106463167
103,8412.470697129787
104,8153.037496092228
105,7099.185201165626
106,8797.21519580054
107,8705.43417556368
108,9052.838547019493
109,7364.708301372561
110,9394.480981832474
111,10045.725964615525
112,10274.167158486931
113,10163.425310791023
114,10196.794095521209
115,7186.715696629299
116,9887.486765901696
117,10923.802883906372
118,9381.288039189258
119,10426.748798036368
120,8735.380265113072
121,10113.668310223524
122,9423.00443826335
123,11286.20233903198
124,11320.061267016064
125,11777.127925016342
126,11317.926115097784
127,9170.394044965085
128,9531.227976528595
129,11208.987352583312
130,11321.566513039033
131,10842.926088983604
132,12203.315119505543
133,11508.633788644722
134,8506.437477835812
135,11389.220800434012
136,13093.55286119168
137,10660.189826968763
138,10204.303159248666
139,10927.362539099211
140,11452.453757289046
141,12844.696338425822
142,12613.8939243159
143,11842.092173476713
144,10198.301743265583
145,13347.72047890738
146,12339.042701605747
147,12365.449894337731
148,12083.222787889214
149,12494.42050708077
150,10827.480160417928
151,12980.765802756383
152,10373.102440458804
153,13056.030995125884
154,12579.538458792556
155,12780.648104614016
156,11323.347029528768
157,12215.835099585256
158,11693.863420998192
159,13537.3269682675
160,14569.555380810105
161,13764.036154695388
162,13576.8628613212
163,11180.800285713534
164,12475.200642137888
165,13746.647375202761
166,11736.83335508766
167,13872.104558914669
168,13605.83609518858
169,15968.423068724962
170,14288.74058958673
171,14465.839896324975
172,13674.894709723705
173,16352.079235007297
174,13009.664657195442
175,13557.392847754812
176,16318.871568427845
177,15335.728445970839
178,14045.581957324139
179,14978.721066862165
180,16153.900045997008
181,15409.8646106905
182,16509.723756629493
183,12663.06632269028
184,16896.857831142628
185,15967.651292496304
186,16006.254746615317
187,17254.815184247273
188,16430.001697368632
189,17630.35588986431
190,12594.117116873298
191,14504.295198766042
192,12858.518681540618
193,18316.589891108422
194,17087.608847495238
195,17207.078363194996
196,16853.701259473317
197,17388.12052033588
198,19037.246043813004
199,14984.605895213426
